stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B5A,phase2_B5A_hm405p823m_vp8p53734mps_sp2deg_by_vehicle,3,False,False,False,False,-405.823,8.537
B5A,phase2_B5A_hm405p823m_vp8p53734mps_sp2deg_combined,3,True,True,False,False,-405.823,8.537
B5A,phase2_B5A_hm41p0842m_vm15p8755mps_sp2deg_by_vehicle,3,False,False,False,False,-41.084,-15.876
B5A,phase2_B5A_hm41p0842m_vm15p8755mps_sp2deg_combined,3,False,False,True,False,-41.084,-15.876
B5A,phase2_B5A_hm500m_vm50mps_sp2deg_by_vehicle,3,False,False,False,False,-500.0,-50.0
B5A,phase2_B5A_hm500m_vm50mps_sp2deg_combined,3,False,False,True,False,-500.0,-50.0
B5A,phase2_B5A_hm500m_vp10mps_sp2deg_by_vehicle,3,False,False,False,False,-500.0,10.0
B5A,phase2_B5A_hm500m_vp10mps_sp2deg_combined,3,True,True,False,False,-500.0,10.0
B5A,phase2_B5A_hm500m_vp20mps_sp2deg_by_vehicle,3,False,False,False,False,-500.0,20.0
B5A,phase2_B5A_hm500m_vp20mps_sp2deg_combined,3,False,False,True,False,-500.0,20.0
B5A,phase2_B5A_hm500m_vp30mps_sp2deg_by_vehicle,3,False,False,False,False,-500.0,30.0
B5A,phase2_B5A_hm500m_vp30mps_sp2deg_combined,3,False,False,False,False,-500.0,30.0
B5A,phase2_B5A_hm500m_vp40mps_sp2deg_by_vehicle,3,False,False,False,False,-500.0,40.0
B5A,phase2_B5A_hm500m_vp40mps_sp2deg_combined,3,False,False,False,False,-500.0,40.0
B5A,phase2_B5A_hm500m_vp50mps_sp2deg_by_vehicle,3,False,False,False,False,-500.0,50.0
B5A,phase2_B5A_hm500m_vp50mps_sp2deg_combined,3,False,False,True,False,-500.0,50.0
B5A,phase2_B5A_hm500m_vz0mps_sp2deg_by_vehicle,3,False,False,False,,-500.0,
B5A,phase2_B5A_hm500m_vz0mps_sp2deg_combined,3,True,True,False,,-500.0,
B5A,phase2_B5A_hm56p5858m_vm36p3657mps_sp2deg_by_vehicle,3,False,False,False,False,-56.586,-36.366
B5A,phase2_B5A_hm56p5858m_vm36p3657mps_sp2deg_combined,3,False,False,True,False,-56.586,-36.366
B5A,phase2_B5A_hm62p8481m_vm0p0393082mps_sp2deg_combined,3,True,True,False,False,-62.848,-0.039
B5A,phase2_B5A_hp107p913m_vp0p973792mps_sp2deg_combined,3,True,True,False,True,107.913,0.974
B5A,phase2_B5A_hp122p534m_vm2p97359mps_sp2deg_by_vehicle,3,False,False,False,True,122.534,-2.974
B5A,phase2_B5A_hp122p534m_vm2p97359mps_sp2deg_combined,3,True,True,False,True,122.534,-2.974
B5A,phase2_B5A_hp143p865m_vm0p634303mps_sp2deg_by_vehicle,3,False,False,False,True,143.865,-0.634
B5A,phase2_B5A_hp143p865m_vm0p634303mps_sp2deg_combined,3,True,True,False,True,143.865,-0.634
B5A,phase2_B5A_hp147p164m_vp7p68177mps_sp2deg_by_vehicle,3,False,False,False,True,147.164,7.682
B5A,phase2_B5A_hp147p164m_vp7p68177mps_sp2deg_combined,3,True,True,False,True,147.164,7.682
B5A,phase2_B5A_hp17p4472m_vm0p661801mps_sp2deg_combined,3,True,True,False,True,17.447,-0.662
B5A,phase2_B5A_hp182p496m_vm41p6149mps_sp2deg_by_vehicle,3,False,False,False,False,182.496,-41.615
B5A,phase2_B5A_hp182p496m_vm41p6149mps_sp2deg_combined,3,False,False,True,False,182.496,-41.615
B5A,phase2_B5A_hp184p675m_vm5p90229mps_sp2deg_by_vehicle,3,False,False,False,True,184.675,-5.902
B5A,phase2_B5A_hp184p675m_vm5p90229mps_sp2deg_combined,3,True,True,False,True,184.675,-5.902
B5A,phase2_B5A_hp195p154m_vm9p35963mps_sp2deg_by_vehicle,3,False,False,False,True,195.154,-9.36
B5A,phase2_B5A_hp195p154m_vm9p35963mps_sp2deg_combined,3,True,True,False,True,195.154,-9.36
B5A,phase2_B5A_hp200p265m_vm31p258mps_sp2deg_by_vehicle,3,False,False,False,False,200.265,-31.258
B5A,phase2_B5A_hp200p265m_vm31p258mps_sp2deg_combined,3,False,False,True,False,200.265,-31.258
B5A,phase2_B5A_hp205p165m_vm3p15626mps_sp2deg_by_vehicle,3,False,False,False,True,205.165,-3.156
B5A,phase2_B5A_hp205p165m_vm3p15626mps_sp2deg_combined,3,True,True,False,True,205.165,-3.156
B5A,phase2_B5A_hp229p1m_vp3p23582mps_sp2deg_by_vehicle,3,False,False,False,True,229.1,3.236
B5A,phase2_B5A_hp229p1m_vp3p23582mps_sp2deg_combined,3,True,True,False,True,229.1,3.236
B5A,phase2_B5A_hp231p021m_vm17p2307mps_sp2deg_combined,3,False,False,True,False,231.021,-17.231
B5A,phase2_B5A_hp235p53m_vm19p0758mps_sp2deg_by_vehicle,3,False,False,False,False,235.53,-19.076
B5A,phase2_B5A_hp235p53m_vm19p0758mps_sp2deg_combined,3,False,False,True,False,235.53,-19.076
B5A,phase2_B5A_hp244p762m_vp8p05058mps_sp2deg_by_vehicle,3,False,False,False,True,244.762,8.051
B5A,phase2_B5A_hp244p762m_vp8p05058mps_sp2deg_combined,3,True,True,False,True,244.762,8.051
B5A,phase2_B5A_hp246p017m_vm13p1293mps_sp2deg_combined,3,False,False,True,False,246.017,-13.129
B5A,phase2_B5A_hp253p79m_vm8p87193mps_sp2deg_by_vehicle,3,False,False,False,True,253.79,-8.872
B5A,phase2_B5A_hp253p79m_vm8p87193mps_sp2deg_combined,3,True,True,False,True,253.79,-8.872
B5A,phase2_B5A_hp258p088m_vm28p7284mps_sp2deg_by_vehicle,3,False,False,False,False,258.088,-28.728
B5A,phase2_B5A_hp258p088m_vm28p7284mps_sp2deg_combined,3,False,False,False,False,258.088,-28.728
B5A,phase2_B5A_hp258p913m_vp7p0568mps_sp2deg_by_vehicle,3,False,False,False,True,258.913,7.057
B5A,phase2_B5A_hp258p913m_vp7p0568mps_sp2deg_combined,3,True,True,False,True,258.913,7.057
B5A,phase2_B5A_hp261p14m_vm2p83614mps_sp2deg_by_vehicle,3,False,False,False,True,261.14,-2.836
B5A,phase2_B5A_hp261p14m_vm2p83614mps_sp2deg_combined,3,True,True,False,True,261.14,-2.836
B5A,phase2_B5A_hp273p956m_vm23p6673mps_sp2deg_by_vehicle,3,False,False,False,False,273.956,-23.667
