csv,vehicle_id,vehicle_sort,vehicle_role,event_time_s,abs_delta_psi_deg,abs_gamma_deg
b5c001_hp407p878_vp3p750_combined.csv,2,2,Vehicle~3,2124.3130000002034,0.46812088613196207,2.9240888099231266
b5c002_hp150p213_vm1p197_combined.csv,2,2,Vehicle~3,2127.478000000204,0.388924881713233,2.97852549777837
b5c003_hp281p755_vp6p735_combined.csv,2,2,Vehicle~3,2122.334000000206,0.6057906290394457,2.8197190145906745
b5c004_hp106p199_vp8p290_combined.csv,2,2,Vehicle~3,2122.1930000002035,0.605085531325949,2.8186944690872537
b5c005_hp157p702_vp5p565_combined.csv,2,2,Vehicle~3,2123.422000000204,0.5380677448293986,2.8661546980779375
b5c006_hp262p371_vm3p022_combined.csv,2,2,Vehicle~3,2130.0320000002034,0.33011184130068766,3.1262061481351813
b5c007_hp278p652_vm0p283_combined.csv,2,2,Vehicle~3,2127.9100000002018,0.3668123344606327,3.0596812592372573
b5c008_hp76p236_vm1p050_combined.csv,2,2,Vehicle~3,2127.463000000203,0.38915888355508793,2.97834505528272
b5c009_hp463p922_vp3p164_combined.csv,2,2,Vehicle~3,2124.832000000203,0.4705530110949107,2.930762097850858
b5c010_hp59p976_vp4p029_combined.csv,2,2,Vehicle~3,2124.771000000203,0.47169255282252887,2.9268310526162127
b5c011_hp349p694_vm0p101_combined.csv,2,2,Vehicle~3,2126.488000000203,0.4421540942904607,2.926848992623666
b5c012_hp14p700_vp1p086_combined.csv,2,2,Vehicle~3,2127.078000000201,0.39242298778103285,3.0404607690342607
b5c013_hp141p172_vp0p854_combined.csv,2,2,Vehicle~3,2126.007000000204,0.42763345077546144,2.9255125088166225
b5c014_hp190p148_vm1p949_combined.csv,2,2,Vehicle~3,2128.657000000205,0.3953597910147568,3.039726089371684
b5c015_hp468p756_vp8p881_combined.csv,2,2,Vehicle~3,2121.053000000204,0.6750750250605827,2.7734195708783815
b5c016_hp86p233_vm5p063_combined.csv,2,2,Vehicle~3,2130.963000000204,0.32729959532234204,3.1231649442218883
b5c017_hp492p240_vp1p120_combined.csv,2,2,Vehicle~3,2126.457000000203,0.41286131474414267,2.992613877294752
b5c018_hp343p939_vp1p764_combined.csv,2,2,Vehicle~3,2126.498000000204,0.47721174954916534,2.964389365120146
b5c019_hp61p117_vp1p056_combined.csv,2,2,Vehicle~3,2126.9180000002034,0.36292999556949385,3.0302839191008433
b5c020_hp21p581_vm9p979_combined.csv,2,2,Vehicle~3,2134.9430000002044,0.2525240402254783,3.253809947781584
b5c021_hp9p864_vp0p067_combined.csv,2,2,Vehicle~3,2126.948000000204,0.41999298577087707,2.965203190401982
b5c022_hp44p606_vm9p298_combined.csv,2,2,Vehicle~3,2132.993000000204,0.27200703615431204,3.1278772562642105
b5c023_hp48p334_vp0p483_combined.csv,2,2,Vehicle~3,2126.472000000204,0.44322688380520725,2.9253819936295824
b5c024_hp316p252_vm5p690_combined.csv,2,2,Vehicle~3,2131.062000000206,0.3222833304224809,3.1299323396530045
b5c025_hp457p541_vm6p362_combined.csv,2,2,Vehicle~3,2131.279000000204,0.29192800648140704,3.143694818137934
b5c026_hp216p564_vp2p798_combined.csv,2,2,Vehicle~3,2125.502000000203,0.4623079880015106,2.9616608483651734
b5c027_hp312p051_vm5p900_combined.csv,2,2,Vehicle~3,2131.326000000204,0.3174388109728938,3.143884954686652
b5c028_hp98p422_vm4p869_combined.csv,2,2,Vehicle~3,2130.7630000002023,0.32059200060670157,3.1155137826354364
b5c029_hp283p266_vp6p772_combined.csv,2,2,Vehicle~3,2122.3020000002034,0.6070521441324139,2.819018042391915
b5c030_hp86p638_vm0p242_combined.csv,2,2,Vehicle~3,2127.3000000002035,0.4045272845402432,2.993592343891229
b5c031_hp110p319_vp5p597_combined.csv,2,2,Vehicle~3,2123.462000000203,0.536353818537473,2.87020750597652
b5c032_hp197p674_vm6p911_combined.csv,2,2,Vehicle~3,2132.111000000204,0.28814706127870704,3.180321028924011
b5c033_hp336p292_vp0p794_combined.csv,2,2,Vehicle~3,2126.8190000002032,0.40620234756869433,3.0217469033494115
b5c034_hp332p074_vm5p639_combined.csv,2,2,Vehicle~3,2131.032000000204,0.32497782596894376,3.12595508316104
b5c035_hp132p429_vm3p567_combined.csv,2,2,Vehicle~3,2129.8100000002028,0.35248499635310576,3.0777796099966084
b5c036_hp421p940_vm4p196_combined.csv,2,2,Vehicle~3,2129.7410000002023,0.3285235732701871,3.0731343173926513
b5c037_hp344p441_vp2p572_combined.csv,2,2,Vehicle~3,2125.484000000204,0.46078031646465684,2.963883692877243
b5c038_hp335p499_vm1p147_combined.csv,2,2,Vehicle~3,2128.5350000002054,0.391984153433551,3.049098165999592
b5c039_hp377p603_vm0p371_combined.csv,2,2,Vehicle~3,2127.810000000202,0.36827885847136327,3.0577520990121747
b5c040_hp129p630_vm0p019_combined.csv,2,2,Vehicle~3,2126.8430000002027,0.42200362290270776,2.9629552440572295
b5c041_hp343p214_vm7p616_combined.csv,2,2,Vehicle~3,2132.4610000002035,0.29013526477202206,3.172305612296515
b5c042_hp365p116_vp0p190_combined.csv,2,2,Vehicle~3,2127.579000000205,0.42602442999233925,3.0059655064846957
b5c043_hp452p043_vp0p481_combined.csv,2,2,Vehicle~3,2126.8610000002045,0.398678799610316,3.030894635610145
b5c044_hp440p893_vm6p434_combined.csv,2,2,Vehicle~3,2131.701000000204,0.3198788274864907,3.144408419147277
b5c045_hp67p020_vm0p134_combined.csv,2,2,Vehicle~3,2127.065000000204,0.4156484745752585,2.971704299716585
b5c046_hp1p809_vm0p086_combined.csv,2,2,Vehicle~3,2127.221000000202,0.401143961660871,2.999834232746
b5c047_hp52p723_vp6p654_combined.csv,2,2,Vehicle~3,2122.4830000002025,0.5273206414078885,2.8465703359048335
b5c048_hp380p801_vm0p950_combined.csv,2,2,Vehicle~3,2127.4180000002043,0.4039935608136022,2.9979661833000093
b5c049_hp64p217_vp6p242_combined.csv,2,2,Vehicle~3,2124.165000000205,0.5229577680748775,2.941836483729989
